best_fitness,runtime_ms,vector
2.22766e+010,0,-76.3958 -54.4203 74.3093 6.50501 -60.2571 -65.4265 -4.31717 -12.7645 52.2167 39.9173 -65.7537 62.7317 2.69048 -69.3463 9.65408 35.9399 0.736069 -9.86774 37.8657 -34.2474 19.2104 -55.3841 35.0084 -32.545 -5.14304 56.4117 -68.8067 28.7278 8.39417 83.4204
2.72511e+010,0,26.916 21.0309 54.6423 -55.5467 -4.51091 25.2529 7.27793 -48.7156 89.1066 62.6927 39.1674 -1.77694 -43.4107 -65.4644 0.0351868 -55.7865 30.439 4.80537 85.2277 41.9527 11.9238 -2.79192 -49.8927 10.9519 77.2931 2.1866 -78.5483 -10.5275 -14.9191 -98.8417
2.42971e+010,0,-0.123444 47.5946 -49.2677 79.1624 -16.1075 9.79649 9.69626 -56.7724 -39.8554 -87.179 -49.9061 -24.9741 15.6321 24.9836 -65.1607 -46.88 49.9823 -37.6431 -52.0067 -69.5124 -65.3988 -56.1436 -63.7961 -37.4019 -9.80793 -17.8694 36.8373 16.5319 18.4247 33.4252
2.78241e+010,2.0878,9.44096 22.9909 -75.8887 -51.3757 -33.8314 -34.1726 -41.2972 -60.3413 12.3702 75.6913 -38.426 -8.98865 -73.5431 34.0794 32.5656 -7.25368 -0.533699 -31.0034 9.94687 -76.2048 29.5238 13.5799 35.3928 -51.5164 -34.8374 96.831 19.1323 -41.5974 62.0326 -58.6932
3.75496e+010,0,-47.8521 -37.5544 54.4345 66.3788 -26.8211 -70.2662 -38.4825 -17.005 -47.9449 -19.5724 -90.3499 -40.2234 -18.8503 13.4243 -36.7884 85.6316 59.1036 76.204 33.5404 -70.7206 36.0278 -99.2423 -49.5341 -10.619 34.7536 -25.7201 11.4171 8.51643 42.7327 53.4037
3.35095e+010,6.2167,-7.7514 -45.4774 73.9633 -1.10299 61.3044 -80.7134 81.5403 -64.1076 -5.45771 44.9897 -21.2597 21.7658 26.8171 69.9232 7.41788 29.3552 43.5264 91.3409 -47.5663 16.9796 13.1403 -25.7152 -43.9473 -46.3423 -77.9024 71.0519 -41.4009 -20.0891 -21.4562 -95.1728
3.4235e+010,0,41.2472 16.8419 21.0619 59.3988 5.73349 48.6361 -99.1121 60.3826 -27.9334 -10.212 -64.0135 -41.8963 -57.0932 -82.7771 13.5494 -49.7136 -76.1047 1.48939 32.9156 -3.82706 -17.0705 30.3779 -7.98033 -25.6477 82.5949 -45.3547 -34.9307 -24.7767 -78.3275 61.114
3.25764e+010,0,66.9424 -44.4855 78.1379 -61.6812 13.2925 -82.0282 62.2101 8.80174 -0.543839 -48.8747 -55.2012 41.4975 -37.3598 76.7025 46.6486 -48.8288 -48.9004 -27.3156 -2.12669 27.6292 69.1659 39.4585 -48.8978 40.2214 63.5151 3.95251 88.7527 -49.0917 22.673 -86.5332
3.68083e+010,0,-1.54316 83.1434 -67.6634 -40.2406 -14.6235 -85.9552 -2.46174 32.9586 36.7913 23.1384 21.5862 -63.315 60.3714 -94.0133 83.4447 58.2427 -51.0751 3.92337 23.6292 -43.0996 -44.3089 29.7932 58.1149 -4.63611 -18.0563 80.6363 -14.1666 38.9217 3.47693 64.7176
2.76795e+010,0,-36.1626 6.8929 -18.3737 -27.6342 -27.3342 41.8698 76.4002 18.6915 34.6665 37.1377 94.3927 73.2966 -85.6176 -36.3308 -0.519691 11.4175 -56.7541 -21.5504 -2.17458 61.561 -3.41354 65.1498 -2.14527 4.94952 -16.1207 -29.3829 -59.539 57.3803 43.2209 43.2765
